feature_group_a,feature_value_a,feature_group_b,feature_value_b,article_count,article_pct
evidence_type,instrument_or_framework_development,game_format,unspecified_game_format,252,3.5
coding_confidence,low,service_area,programming_and_facilitation,252,3.5
evidence_type,empirical_study,intended_outcome,discovery_and_advisory,251,3.5
audience,students,service_area,professional_capacity,249,3.5
primary_methodology,unspecified,service_area,programming_and_facilitation,243,3.4
coding_confidence,low,primary_methodology,theoretical_or_conceptual,241,3.3
evidence_type,theoretical_or_conceptual,primary_methodology,theoretical_or_conceptual,241,3.3
peer_review,peer_reviewed,primary_methodology,theoretical_or_conceptual,241,3.3
primary_methodology,theoretical_or_conceptual,source_type,peer_reviewed_journal_article,241,3.3
intended_outcome,not_applicable,service_area,learning_and_literacy,240,3.3
game_format,unspecified_game_format,primary_methodology,theoretical_or_conceptual,239,3.3
library_context,academic_library,service_area,community_and_inclusion,233,3.2
audience,not_applicable,service_area,creation_and_making,232,3.2
audience,students,service_area,collections_and_access,230,3.2
intended_outcome,learning_and_literacy,service_area,community_and_inclusion,229,3.2
audience,not_applicable,primary_methodology,survey,228,3.2
coding_confidence,low,intended_outcome,equitable_access,226,3.1
library_context,unspecified_library_context,primary_methodology,survey,226,3.1
intended_outcome,creativity_and_production,service_area,learning_and_literacy,226,3.1
coding_confidence,low,library_context,school_library,223,3.1
primary_methodology,survey,service_area,learning_and_literacy,222,3.1
intended_outcome,engagement_and_participation,library_context,academic_library,221,3.1
library_context,school_library,primary_methodology,unspecified,220,3.1
intended_outcome,institutional_capacity,service_area,collections_and_access,219,3.0
intended_outcome,engagement_and_participation,intended_outcome,learning_and_literacy,219,3.0
intended_outcome,learning_and_literacy,service_area,professional_capacity,217,3.0
evidence_type,theoretical_or_conceptual,intended_outcome,creativity_and_production,216,3.0
library_context,unspecified_library_context,primary_methodology,qualitative_study,215,3.0
library_context,unspecified_library_context,service_area,professional_capacity,214,3.0
audience,not_applicable,intended_outcome,equitable_access,212,2.9
intended_outcome,equitable_access,primary_methodology,unspecified,212,2.9
library_context,unspecified_library_context,service_area,creation_and_making,210,2.9
audience,students,intended_outcome,not_applicable,210,2.9
coding_confidence,low,service_area,creation_and_making,208,2.9
evidence_type,theoretical_or_conceptual,service_area,community_and_inclusion,205,2.8
intended_outcome,not_applicable,primary_methodology,survey,204,2.8
intended_outcome,creativity_and_production,library_context,academic_library,204,2.8
intended_outcome,engagement_and_participation,service_area,community_and_inclusion,203,2.8
