feature_group_a,feature_value_a,feature_group_b,feature_value_b,article_count,article_pct
evidence_type,instrument_or_framework_development,intended_outcome,discovery_and_advisory,11,4.9
evidence_type,empirical_study,intended_outcome,equitable_access,11,4.9
peer_review,peer_reviewed,primary_methodology,qualitative_study,11,4.9
audience,students,primary_methodology,qualitative_study,11,4.9
audience,students,service_area,collections_and_access,11,4.9
evidence_type,implementation_case,service_area,collections_and_access,11,4.9
evidence_type,professional_practice_artifact,game_format,multiple_game_formats,11,4.9
coding_confidence,high,intended_outcome,engagement_and_participation,11,4.9
intended_outcome,institutional_capacity,peer_review,peer_reviewed,11,4.9
peer_review,editorial_reviewed,service_area,programming_and_facilitation,11,4.9
game_format,multiple_game_formats,primary_methodology,community_curation,11,4.9
audience,students,game_format,multiple_game_formats,11,4.9
intended_outcome,institutional_capacity,source_type,peer_reviewed_journal_article,11,4.9
library_context,non_library_context,service_area,discovery_and_advisory,11,4.9
audience,not_applicable,evidence_type,empirical_study,11,4.9
game_format,multiple_game_formats,source_type,professional_community_working_document,11,4.9
peer_review,unknown,source_type,toolkit_or_guidance_document,11,4.9
library_context,public_library,service_area,community_and_inclusion,10,4.5
library_context,public_library,service_area,collections_and_access,10,4.5
audience,students,primary_methodology,case_or_design_study,10,4.5
audience,students,evidence_type,implementation_case,10,4.5
audience,students,service_area,programming_and_facilitation,10,4.5
library_context,unspecified_library_context,service_area,discovery_and_advisory,10,4.5
evidence_type,empirical_study,service_area,professional_capacity,10,4.5
evidence_type,practitioner_reflection,source_type,toolkit_or_guidance_document,10,4.5
audience,children,evidence_type,empirical_study,10,4.5
evidence_type,empirical_study,game_format,virtual_or_augmented_reality,10,4.5
coding_confidence,high,peer_review,not_applicable,10,4.5
coding_confidence,high,source_type,conference_paper,10,4.5
game_format,multiple_game_formats,primary_methodology,none,10,4.5
evidence_type,empirical_study,library_context,academic_library,10,4.5
audience,children,peer_review,peer_reviewed,10,4.5
audience,children,source_type,peer_reviewed_journal_article,10,4.5
library_context,academic_library,service_area,collections_and_access,10,4.5
evidence_type,practitioner_reflection,game_format,multiple_game_formats,10,4.5
intended_outcome,learning_and_literacy,primary_methodology,qualitative_study,10,4.5
game_format,multiple_game_formats,service_area,community_and_inclusion,10,4.5
service_area,discovery_and_advisory,source_type,peer_reviewed_journal_article,10,4.5
game_format,tabletop_game,library_context,unspecified_library_context,10,4.5
library_context,non_library_context,primary_methodology,theoretical_or_conceptual,10,4.5
evidence_type,empirical_study,game_format,tabletop_game,10,4.5
intended_outcome,belonging_and_community,service_area,collections_and_access,10,4.5
library_context,public_library,service_area,learning_and_literacy,10,4.5
game_format,virtual_or_augmented_reality,service_area,learning_and_literacy,10,4.5
peer_review,editorial_reviewed,primary_methodology,theoretical_or_conceptual,10,4.5
evidence_type,practitioner_reflection,peer_review,unknown,10,4.5
evidence_type,instrument_or_framework_development,service_area,discovery_and_advisory,10,4.5
audience,not_applicable,service_area,cultural_heritage_and_research,10,4.5
library_context,unspecified_library_context,peer_review,unknown,10,4.5
peer_review,peer_reviewed,service_area,discovery_and_advisory,10,4.5
coding_confidence,high,library_context,school_library,9,4.0
intended_outcome,engagement_and_participation,source_type,peer_reviewed_journal_article,9,4.0
library_context,non_library_context,primary_methodology,evidence_synthesis,9,4.0
audience,teens,service_area,programming_and_facilitation,9,4.0
evidence_type,evidence_synthesis,library_context,non_library_context,9,4.0
audience,teens,intended_outcome,learning_and_literacy,9,4.0
intended_outcome,engagement_and_participation,peer_review,peer_reviewed,9,4.0
peer_review,editorial_reviewed,source_type,conference_paper,9,4.0
intended_outcome,belonging_and_community,intended_outcome,learning_and_literacy,9,4.0
intended_outcome,creativity_and_production,intended_outcome,learning_and_literacy,9,4.0
intended_outcome,belonging_and_community,library_context,public_library,9,4.0
intended_outcome,not_applicable,library_context,academic_library,9,4.0
library_context,cultural_heritage_institution,peer_review,editorial_reviewed,9,4.0
